# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 13:21:51.121966100 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	CC Chuck's Circular Apatite[0][all]['CC Chuck's Circular Apatite[0][4].msa']
#
# Fit Warnings
#	The k-ratio '[Cl L₁-M₃ + 1 other] = -0.473 ± 0.013' is more than 3σ negative.
#	The k-ratio '[Cu L₃-M₅ + 13 others] = -0.000843 ± 0.000046' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
CC Chuck's Circular Apatite[0][all],O,8,15.999,0.35957,0.03995,0.35657,0.02550,0.54515,0.02759
CC Chuck's Circular Apatite[0][all],F,9,18.998403163,0.04182,0.00219,0.04147,0.00265,0.05339,0.00418
CC Chuck's Circular Apatite[0][all],Si,14,28.085,0.00248,0.00002,0.00246,0.00010,0.00214,0.00013
CC Chuck's Circular Apatite[0][all],P,15,30.973761998,0.18580,0.00036,0.18425,0.00732,0.14551,0.00883
CC Chuck's Circular Apatite[0][all],S,16,32.06,0.00283,0.00004,0.00281,0.00012,0.00214,0.00013
CC Chuck's Circular Apatite[0][all],Cl,17,35.45,0.00537,0.00003,0.00533,0.00021,0.00368,0.00022
CC Chuck's Circular Apatite[0][all],Ca,20,40.078,0.40884,0.00032,0.40543,0.01609,0.24744,0.01500
CC Chuck's Circular Apatite[0][all],Cu,29,63.54599999999999,0.00004,0.00004,0.00004,0.00004,0.00002,0.00002
CC Chuck's Circular Apatite[0][all],Zn,30,65.38,0.00002,0.00005,0.00002,0.00005,0.00001,0.00002
CC Chuck's Circular Apatite[0][all],As,33,74.921595,0.00164,0.00008,0.00162,0.00010,0.00053,0.00004
# Notes
#	Analytical total: 1.008 ± 0.040
#	Residual written to CC Chuck's Circular Apatite[0][4][residual].msa.
#
# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 13:21:51.966389200 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	CC Chuck's Circular Apatite[1][all]['CC Chuck's Circular Apatite[1][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
CC Chuck's Circular Apatite[1][all],O,8,15.999,0.34829,0.03765,0.35330,0.02471,0.54380,0.02686
CC Chuck's Circular Apatite[1][all],F,9,18.998403163,0.03936,0.00202,0.03993,0.00249,0.05175,0.00395
CC Chuck's Circular Apatite[1][all],Si,14,28.085,0.00262,0.00002,0.00266,0.00010,0.00233,0.00014
CC Chuck's Circular Apatite[1][all],P,15,30.973761998,0.17877,0.00034,0.18134,0.00694,0.14418,0.00849
CC Chuck's Circular Apatite[1][all],S,16,32.06,0.00301,0.00004,0.00305,0.00012,0.00234,0.00014
CC Chuck's Circular Apatite[1][all],Cl,17,35.45,0.00527,0.00003,0.00535,0.00021,0.00372,0.00022
CC Chuck's Circular Apatite[1][all],Ca,20,40.078,0.39810,0.00031,0.40382,0.01545,0.24813,0.01460
CC Chuck's Circular Apatite[1][all],Cu,29,63.54599999999999,0.00230,0.00004,0.00233,0.00010,0.00090,0.00006
CC Chuck's Circular Apatite[1][all],Zn,30,65.38,0.00296,0.00005,0.00300,0.00013,0.00113,0.00007
CC Chuck's Circular Apatite[1][all],As,33,74.921595,0.00515,0.00009,0.00522,0.00022,0.00172,0.00011
# Notes
#	Analytical total: 0.986 ± 0.038
#	Residual written to CC Chuck's Circular Apatite[1][4][residual].msa.
#
# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 13:21:52.789235800 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	CC Chuck's Circular Apatite[2][all]['CC Chuck's Circular Apatite[2][4].msa']
#
# Fit Warnings
#	Removing Cu from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Cl L₁-M₃ + 1 other] = -0.447 ± 0.013' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
CC Chuck's Circular Apatite[2][all],O,8,15.999,0.36054,0.04009,0.35723,0.02554,0.54616,0.02760
CC Chuck's Circular Apatite[2][all],F,9,18.998403163,0.04098,0.00215,0.04061,0.00260,0.05228,0.00410
CC Chuck's Circular Apatite[2][all],Si,14,28.085,0.00246,0.00002,0.00243,0.00010,0.00212,0.00013
CC Chuck's Circular Apatite[2][all],P,15,30.973761998,0.18627,0.00036,0.18456,0.00735,0.14576,0.00886
CC Chuck's Circular Apatite[2][all],S,16,32.06,0.00274,0.00004,0.00272,0.00011,0.00207,0.00013
CC Chuck's Circular Apatite[2][all],Cl,17,35.45,0.00519,0.00003,0.00515,0.00021,0.00355,0.00022
CC Chuck's Circular Apatite[2][all],Ca,20,40.078,0.40913,0.00032,0.40537,0.01613,0.24741,0.01504
CC Chuck's Circular Apatite[2][all],Cu,29,63.54599999999999,0.00000,0.00003,0.00000,0.00003,0.00000,0.00001
CC Chuck's Circular Apatite[2][all],Zn,30,65.38,0.00024,0.00005,0.00023,0.00005,0.00009,0.00002
CC Chuck's Circular Apatite[2][all],As,33,74.921595,0.00172,0.00008,0.00170,0.00011,0.00056,0.00004
# Notes
#	Analytical total: 1.009 ± 0.040
#	Residual written to CC Chuck's Circular Apatite[2][4][residual].msa.
#
# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 13:21:53.593851200 -04:00
#	Application: spex v0.0.110
