# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-15 16:33:31.559494 -04:00
#	Application: spex v0.0.108
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	None
#
# Spectrum
#	'NIST K251' standard for 'N132962' detector['NIST K251 std.msa']
#
# Fit Warnings
#	The k-ratio '[Bi M₃-M₅ + 1 other] = -0.3846 ± 0.0095' is more than 3σ negative.
#	The k-ratio '[Pb M₂-M₄] = -0.49 ± 0.12' is more than 3σ negative.
#	The k-ratio '[Bi M₁-O₂ + 1 other] = -0.294 ± 0.021' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K251' standard for 'N132962' detector,O,8,15.999,0.21556,0.02337,0.21546,0.01838,0.59929,0.02665
'NIST K251' standard for 'N132962' detector,Al,13,26.9815384,0.01381,0.00042,0.01380,0.00053,0.02276,0.00164
'NIST K251' standard for 'N132962' detector,Si,14,28.085,0.14700,0.00594,0.14693,0.00613,0.23282,0.01676
'NIST K251' standard for 'N132962' detector,Ba,56,137.327,0.09124,0.00209,0.09120,0.00290,0.02955,0.00205
'NIST K251' standard for 'N132962' detector,Ta,73,180.94788,0.04100,0.00009,0.04098,0.00100,0.01008,0.00066
'NIST K251' standard for 'N132962' detector,Pb,82,207.2,0.44159,0.00055,0.44140,0.01069,0.09480,0.00623
'NIST K251' standard for 'N132962' detector,Bi,83,208.9804,0.05025,0.00028,0.05023,0.00124,0.01069,0.00070
# Notes
#	Analytical total: 1.000 ± 0.024
#	Residual written to NIST K251 std[residual].msa.
#	Plot output to 'NIST K251 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K251',O,8,15.999,0.23022,0.00000,0.23022,0.00000,0.62307,0.00000
'NIST K251',Al,13,26.9815384,0.01323,0.00000,0.01323,0.00000,0.02123,0.00000
'NIST K251',Si,14,28.085,0.14024,0.00000,0.14024,0.00000,0.21622,0.00000
'NIST K251',Ba,56,137.327,0.08956,0.00000,0.08956,0.00000,0.02824,0.00000
'NIST K251',Ta,73,180.94788,0.04095,0.00000,0.04095,0.00000,0.00980,0.00000
'NIST K251',Pb,82,207.2,0.44095,0.00000,0.44095,0.00000,0.09215,0.00000
'NIST K251',Bi,83,208.9804,0.04485,0.00000,0.04485,0.00000,0.00929,0.00000
