# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-15 17:01:10.254981100 -04:00
#	Application: spex v0.0.108
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	None
#
# Spectrum
#	'NIST K411' standard for 'N132962' detector['NIST K411 std.msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K411' standard for 'N132962' detector,O,8,15.999,0.44383,0.02959,0.43219,0.01637,0.60686,0.01591
'NIST K411' standard for 'N132962' detector,Mg,12,24.305,0.09074,0.00045,0.08836,0.00258,0.08167,0.00333
'NIST K411' standard for 'N132962' detector,Si,14,28.085,0.25942,0.00072,0.25262,0.00730,0.20207,0.00819
'NIST K411' standard for 'N132962' detector,Ca,20,40.078,0.11778,0.00010,0.11469,0.00331,0.06429,0.00260
'NIST K411' standard for 'N132962' detector,Fe,26,55.845,0.11516,0.00005,0.11214,0.00323,0.04511,0.00183
# Notes
#	Analytical total: 1.027 ± 0.030
#	Residual written to NIST K411 std[residual].msa.
#	Plot output to 'NIST K411 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K411',O,8,15.999,0.42364,0.00000,0.42853,0.00000,0.60285,0.00000
'NIST K411',Mg,12,24.305,0.08847,0.00000,0.08949,0.00000,0.08287,0.00000
'NIST K411',Si,14,28.085,0.25383,0.00000,0.25676,0.00000,0.20577,0.00000
'NIST K411',Ca,20,40.078,0.11056,0.00000,0.11184,0.00000,0.06281,0.00000
'NIST K411',Fe,26,55.845,0.11209,0.00000,0.11338,0.00000,0.04570,0.00000
