# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-15 16:33:44.258485200 -04:00
#	Application: spex v0.0.108
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#	The Duane-Hunt (19.63 keV) for KBr std differs by more than 1 % from the beam energy (20.00 keV)!!
#	There are no suitable references for [Rb L₁-L₃; 0.0006>.
#	There are no suitable references for [Cs M₅-N₃ and 17 others; 0.9731>.
#	There are no suitable references for [Eu M₅-N₃ and 18 others; 0.9890>.
#
# Spectrum
#	'NIST K978' standard for 'N132962' detector['NIST K978 std.msa']
#
# Fit Warnings
#	The k-ratio '[Cs M₃-M₅ + 3 others] = -0.0520 ± 0.0049' is more than 3σ negative.
#	The k-ratio '[Sr L₁-L₃] = -0.1677 ± 0.0071' is more than 3σ negative.
#	The k-ratio '[Gd M₃-M₅ + 3 others] = -0.0666 ± 0.0024' is more than 3σ negative.
#	The k-ratio '[Ti L₃-M₅ + 13 others] = -0.00188 ± 0.00031' is more than 3σ negative.
#	The k-ratio '[La M₁-O₃ + 1 other] = -4.21 ± 0.17' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K978' standard for 'N132962' detector,O,8,15.999,0.40581,0.03450,0.40008,0.02045,0.61693,0.02015
'NIST K978' standard for 'N132962' detector,Mg,12,24.305,0.01208,0.00034,0.01191,0.00052,0.01209,0.00072
'NIST K978' standard for 'N132962' detector,Al,13,26.9815384,0.09211,0.00123,0.09081,0.00329,0.08303,0.00448
'NIST K978' standard for 'N132962' detector,Si,14,28.085,0.21126,0.00252,0.20828,0.00737,0.18296,0.00976
'NIST K978' standard for 'N132962' detector,K,19,39.0983,0.01946,0.00003,0.01919,0.00066,0.01211,0.00064
'NIST K978' standard for 'N132962' detector,Ca,20,40.078,0.07319,0.00008,0.07215,0.00247,0.04442,0.00233
'NIST K978' standard for 'N132962' detector,Ti,22,47.867,0.00781,0.00002,0.00770,0.00026,0.00397,0.00021
'NIST K978' standard for 'N132962' detector,Rb,37,85.4678,0.02135,0.00013,0.02105,0.00073,0.00608,0.00032
'NIST K978' standard for 'N132962' detector,Sr,38,87.62,0.08809,0.00183,0.08684,0.00339,0.02445,0.00138
'NIST K978' standard for 'N132962' detector,Cs,55,132.90545196,0.02257,0.00011,0.02225,0.00077,0.00413,0.00022
'NIST K978' standard for 'N132962' detector,La,57,138.90547,0.01734,0.00009,0.01710,0.00059,0.00304,0.00016
'NIST K978' standard for 'N132962' detector,Eu,63,151.964,0.02122,0.00006,0.02092,0.00072,0.00340,0.00018
'NIST K978' standard for 'N132962' detector,Gd,64,157.25,0.02203,0.00007,0.02172,0.00075,0.00341,0.00018
# Notes
#	Analytical total: 1.014 ± 0.035
#	Residual written to NIST K978 std[residual].msa.
#	Plot output to 'NIST K978 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K978',O,8,15.999,0.39390,0.00000,0.39382,0.00000,0.61232,0.00000
'NIST K978',Mg,12,24.305,0.01357,0.00000,0.01357,0.00000,0.01388,0.00000
'NIST K978',Al,13,26.9815384,0.08923,0.00000,0.08921,0.00000,0.08225,0.00000
'NIST K978',Si,14,28.085,0.21017,0.00000,0.21013,0.00000,0.18612,0.00000
'NIST K978',K,19,39.0983,0.01868,0.00000,0.01867,0.00000,0.01188,0.00000
'NIST K978',Ca,20,40.078,0.06747,0.00000,0.06745,0.00000,0.04187,0.00000
'NIST K978',Ti,22,47.867,0.00671,0.00000,0.00671,0.00000,0.00349,0.00000
'NIST K978',Rb,37,85.4678,0.02057,0.00000,0.02057,0.00000,0.00599,0.00000
'NIST K978',Sr,38,87.62,0.10054,0.00000,0.10052,0.00000,0.02854,0.00000
'NIST K978',Cs,55,132.90545196,0.02122,0.00000,0.02122,0.00000,0.00397,0.00000
'NIST K978',La,57,138.90547,0.01919,0.00000,0.01918,0.00000,0.00344,0.00000
'NIST K978',Eu,63,151.964,0.01943,0.00000,0.01943,0.00000,0.00318,0.00000
'NIST K978',Gd,64,157.25,0.01952,0.00000,0.01952,0.00000,0.00309,0.00000
