# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:05:54.682652500 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	None
#
# Spectrum
#	SPI MM1 Almandine[0][all]['SPI MM1 Almandine[0][4].msa']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02654 ± 0.00052' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Almandine[0][all],O,8,15.999,0.42130,0.03233,0.41495,0.01864,0.59615,0.01848
SPI MM1 Almandine[0][all],Mg,12,24.305,0.06110,0.00033,0.06017,0.00194,0.05691,0.00262
SPI MM1 Almandine[0][all],Al,13,26.9815384,0.11754,0.00048,0.11576,0.00371,0.09862,0.00453
SPI MM1 Almandine[0][all],Si,14,28.085,0.18693,0.00060,0.18411,0.00588,0.15068,0.00691
SPI MM1 Almandine[0][all],Ca,20,40.078,0.03134,0.00005,0.03087,0.00098,0.01770,0.00081
SPI MM1 Almandine[0][all],Ti,22,47.867,0.00010,0.00002,0.00009,0.00002,0.00005,0.00001
SPI MM1 Almandine[0][all],Mn,25,54.938043,0.00501,0.00004,0.00494,0.00016,0.00207,0.00010
SPI MM1 Almandine[0][all],Fe,26,55.845,0.19200,0.00012,0.18911,0.00603,0.07784,0.00356
# Notes
#	Analytical total: 1.015 ± 0.032
#	Residual written to SPI MM1 Almandine[0][4][residual].msa.
#
# Spectrum
#	SPI MM1 Almandine[1][all]['SPI MM1 Almandine[1][4].msa']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03066 ± 0.00052' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
