# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:05:55.214804600 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	None
#
# Spectrum
#	SPI MM1 Andradite[0][all]['SPI MM1 Andradite[0][4].msa']
#
# Fit Warnings
#	Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03616 ± 0.00045' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[0][all],O,8,15.999,0.36779,0.04409,0.36575,0.02781,0.57891,0.02922
SPI MM1 Andradite[0][all],Mg,12,24.305,0.00026,0.00003,0.00026,0.00003,0.00027,0.00004
SPI MM1 Andradite[0][all],Al,13,26.9815384,0.02518,0.00011,0.02504,0.00110,0.02350,0.00163
SPI MM1 Andradite[0][all],Si,14,28.085,0.17207,0.00051,0.17112,0.00751,0.15429,0.01071
SPI MM1 Andradite[0][all],Ca,20,40.078,0.25068,0.00018,0.24929,0.01093,0.15751,0.01093
SPI MM1 Andradite[0][all],Ti,22,47.867,0.00000,0.00002,0.00000,0.00002,0.00000,0.00001
SPI MM1 Andradite[0][all],Mn,25,54.938043,0.00310,0.00004,0.00308,0.00014,0.00142,0.00010
SPI MM1 Andradite[0][all],Fe,26,55.845,0.18649,0.00013,0.18545,0.00813,0.08409,0.00584
# Notes
#	Analytical total: 1.006 ± 0.044
#	Residual written to SPI MM1 Andradite[0][4][residual].msa.
#
# Spectrum
#	SPI MM1 Andradite[1][all]['SPI MM1 Andradite[1][4].msa']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01657 ± 0.00040' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[1][all],O,8,15.999,0.38104,0.04758,0.39714,0.02989,0.61290,0.02962
SPI MM1 Andradite[1][all],Mg,12,24.305,0.00010,0.00003,0.00011,0.00003,0.00011,0.00003
SPI MM1 Andradite[1][all],Al,13,26.9815384,0.02075,0.00009,0.02163,0.00108,0.01979,0.00152
SPI MM1 Andradite[1][all],Si,14,28.085,0.12703,0.00037,0.13239,0.00657,0.11639,0.00891
SPI MM1 Andradite[1][all],Ca,20,40.078,0.28884,0.00018,0.30104,0.01493,0.18546,0.01419
SPI MM1 Andradite[1][all],Ti,22,47.867,0.00030,0.00003,0.00031,0.00003,0.00016,0.00002
SPI MM1 Andradite[1][all],Mn,25,54.938043,0.00268,0.00004,0.00280,0.00014,0.00126,0.00010
SPI MM1 Andradite[1][all],Fe,26,55.845,0.13872,0.00012,0.14458,0.00717,0.06392,0.00489
# Notes
#	Analytical total: 0.959 ± 0.048
#	Residual written to SPI MM1 Andradite[1][4][residual].msa.
#
# Spectrum
#	SPI MM1 Andradite[2][all]['SPI MM1 Andradite[2][4].msa']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02941 ± 0.00045' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[2][all],O,8,15.999,0.37350,0.04488,0.36947,0.02800,0.58300,0.02922
SPI MM1 Andradite[2][all],Mg,12,24.305,0.00025,0.00003,0.00025,0.00003,0.00026,0.00004
SPI MM1 Andradite[2][all],Al,13,26.9815384,0.02479,0.00011,0.02452,0.00109,0.02294,0.00161
SPI MM1 Andradite[2][all],Si,14,28.085,0.17157,0.00051,0.16972,0.00755,0.15256,0.01070
SPI MM1 Andradite[2][all],Ca,20,40.078,0.25063,0.00018,0.24792,0.01101,0.15617,0.01094
SPI MM1 Andradite[2][all],Ti,22,47.867,0.00001,0.00003,0.00001,0.00003,0.00001,0.00001
SPI MM1 Andradite[2][all],Mn,25,54.938043,0.00307,0.00004,0.00304,0.00014,0.00140,0.00010
SPI MM1 Andradite[2][all],Fe,26,55.845,0.18709,0.00013,0.18507,0.00822,0.08367,0.00586
# Notes
#	Analytical total: 1.011 ± 0.045
#	Residual written to SPI MM1 Andradite[2][4][residual].msa.
#
# Spectrum
#	SPI MM1 Andradite[3][all]['SPI MM1 Andradite[3][4].msa']
#
# Fit Warnings
#	Removing Ti from the fit and re-fitting (threshold = 0.0σ).
