# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:05:56.448337200 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	None
#
# Spectrum
#	SPI MM1 Barite[0][all]['SPI MM1 Barite[0][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[0][all],O,8,15.999,0.26460,0.01678,0.26685,0.01241,0.66002,0.01423
SPI MM1 Barite[0][all],S,16,32.06,0.13489,0.00052,0.13604,0.00235,0.16792,0.00705
SPI MM1 Barite[0][all],Ba,56,137.327,0.59207,0.00100,0.59711,0.01011,0.17206,0.00720
# Notes
#	Analytical total: 0.992 ± 0.017
#	Residual written to SPI MM1 Barite[0][4][residual].msa.
#
# Spectrum
#	SPI MM1 Barite[1][all]['SPI MM1 Barite[1][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[1][all],O,8,15.999,0.26508,0.01681,0.26724,0.01242,0.66063,0.01422
SPI MM1 Barite[1][all],S,16,32.06,0.13461,0.00052,0.13570,0.00235,0.16741,0.00703
SPI MM1 Barite[1][all],Ba,56,137.327,0.59223,0.00100,0.59706,0.01013,0.17196,0.00721
# Notes
#	Analytical total: 0.992 ± 0.017
#	Residual written to SPI MM1 Barite[1][4][residual].msa.
#
# Spectrum
#	SPI MM1 Barite[2][all]['SPI MM1 Barite[2][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[2][all],O,8,15.999,0.26311,0.01666,0.26591,0.01236,0.65904,0.01423
SPI MM1 Barite[2][all],S,16,32.06,0.13464,0.00052,0.13607,0.00234,0.16829,0.00704
SPI MM1 Barite[2][all],Ba,56,137.327,0.59173,0.00099,0.59802,0.01008,0.17267,0.00721
# Notes
#	Analytical total: 0.989 ± 0.017
#	Residual written to SPI MM1 Barite[2][4][residual].msa.
#
# Spectrum
#	SPI MM1 Barite[3][all]['SPI MM1 Barite[3][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[3][all],O,8,15.999,0.26400,0.01674,0.26626,0.01239,0.65943,0.01425
SPI MM1 Barite[3][all],S,16,32.06,0.13486,0.00052,0.13601,0.00234,0.16810,0.00705
SPI MM1 Barite[3][all],Ba,56,137.327,0.59264,0.00100,0.59772,0.01011,0.17246,0.00722
# Notes
#	Analytical total: 0.991 ± 0.017
#	Residual written to SPI MM1 Barite[3][4][residual].msa.
#
# Spectrum
#	SPI MM1 Barite[4][all]['SPI MM1 Barite[4][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[4][all],O,8,15.999,0.26444,0.01676,0.26685,0.01240,0.66014,0.01422
SPI MM1 Barite[4][all],S,16,32.06,0.13462,0.00052,0.13585,0.00234,0.16771,0.00704
SPI MM1 Barite[4][all],Ba,56,137.327,0.59189,0.00100,0.59730,0.01011,0.17214,0.00721
# Notes
#	Analytical total: 0.991 ± 0.017
#	Residual written to SPI MM1 Barite[4][4][residual].msa.
#
# Spectrum
#	SPI MM1 Barite[5][all]['SPI MM1 Barite[5][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[5][all],O,8,15.999,0.26371,0.01671,0.26623,0.01238,0.65954,0.01424
SPI MM1 Barite[5][all],S,16,32.06,0.13451,0.00052,0.13580,0.00234,0.16788,0.00704
SPI MM1 Barite[5][all],Ba,56,137.327,0.59231,0.00100,0.59797,0.01010,0.17258,0.00722
# Notes
#	Analytical total: 0.991 ± 0.017
#	Residual written to SPI MM1 Barite[5][4][residual].msa.
#
# Spectrum
#	SPI MM1 Barite[6][all]['SPI MM1 Barite[6][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[6][all],O,8,15.999,0.26340,0.01669,0.26604,0.01237,0.65932,0.01424
SPI MM1 Barite[6][all],S,16,32.06,0.13449,0.00052,0.13583,0.00234,0.16799,0.00704
SPI MM1 Barite[6][all],Ba,56,137.327,0.59220,0.00100,0.59813,0.01009,0.17269,0.00722
# Notes
#	Analytical total: 0.990 ± 0.017
#	Residual written to SPI MM1 Barite[6][4][residual].msa.
#
# Spectrum
#	SPI MM1 Barite[7][all]['SPI MM1 Barite[7][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[7][all],O,8,15.999,0.26405,0.01674,0.26638,0.01239,0.65973,0.01424
SPI MM1 Barite[7][all],S,16,32.06,0.13455,0.00052,0.13574,0.00234,0.16776,0.00704
SPI MM1 Barite[7][all],Ba,56,137.327,0.59263,0.00100,0.59788,0.01011,0.17251,0.00722
# Notes
#	Analytical total: 0.991 ± 0.017
#	Residual written to SPI MM1 Barite[7][4][residual].msa.
#
# Spectrum
#	Sum[8 spectra]['Sum spectrum']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
Sum[8 spectra],O,8,15.999,0.26405,0.01673,0.26647,0.01239,0.65973,0.01423
Sum[8 spectra],S,16,32.06,0.13465,0.00051,0.13588,0.00234,0.16788,0.00704
Sum[8 spectra],Ba,56,137.327,0.59221,0.00094,0.59765,0.01010,0.17239,0.00721
# Notes
#	Analytical total: 0.991 ± 0.017
#
