# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:05:57.778455700 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	None
#
# Spectrum
#	SPI MM1 Calcite[0][all]['SPI MM1 Calcite[0][4].msa']
#
# Fit Warnings
#	Removing Sr from the fit and re-fitting (threshold = 0.0σ).
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Calcite[0][all],C,6,12.011,0.13265,0.03408,0.13543,0.03081,0.22888,0.04752
SPI MM1 Calcite[0][all],O,8,15.999,0.42815,0.04796,0.43712,0.03148,0.55462,0.04277
SPI MM1 Calcite[0][all],Ca,20,40.078,0.41868,0.00018,0.42745,0.02568,0.21650,0.01852
SPI MM1 Calcite[0][all],Sr,38,87.62,0.00000,0.00007,0.00000,0.00007,0.00000,0.00002
# Notes
#	Analytical total: 0.979 ± 0.059
#	Residual written to SPI MM1 Calcite[0][4][residual].msa.
#
# Spectrum
#	SPI MM1 Calcite[1][all]['SPI MM1 Calcite[1][4].msa']
#
# Fit Warnings
#	Removing Sr from the fit and re-fitting (threshold = 0.0σ).
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Calcite[1][all],C,6,12.011,0.13098,0.03369,0.13375,0.03051,0.22637,0.04720
SPI MM1 Calcite[1][all],O,8,15.999,0.42881,0.04811,0.43789,0.03146,0.55637,0.04262
SPI MM1 Calcite[1][all],Ca,20,40.078,0.41948,0.00018,0.42836,0.02569,0.21727,0.01855
SPI MM1 Calcite[1][all],Sr,38,87.62,0.00000,0.00007,0.00000,0.00007,0.00000,0.00002
# Notes
#	Analytical total: 0.979 ± 0.059
#	Residual written to SPI MM1 Calcite[1][4][residual].msa.
#
# Spectrum
#	SPI MM1 Calcite[2][all]['SPI MM1 Calcite[2][4].msa']
#
# Fit Warnings
#	Removing Sr from the fit and re-fitting (threshold = 0.0σ).
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Calcite[2][all],C,6,12.011,0.13420,0.03476,0.13449,0.03090,0.22673,0.04765
SPI MM1 Calcite[2][all],O,8,15.999,0.44090,0.05022,0.44187,0.03203,0.55924,0.04321
SPI MM1 Calcite[2][all],Ca,20,40.078,0.42270,0.00018,0.42363,0.02593,0.21403,0.01854
SPI MM1 Calcite[2][all],Sr,38,87.62,0.00000,0.00007,0.00000,0.00007,0.00000,0.00002
# Notes
#	Analytical total: 0.998 ± 0.061
#	Residual written to SPI MM1 Calcite[2][4][residual].msa.
#
# Spectrum
#	SPI MM1 Calcite[3][all]['SPI MM1 Calcite[3][4].msa']
#
# Fit Warnings
#	Removing Sr from the fit and re-fitting (threshold = 0.0σ).
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Calcite[3][all],C,6,12.011,0.13481,0.03492,0.13500,0.03100,0.22760,0.04778
SPI MM1 Calcite[3][all],O,8,15.999,0.44038,0.05019,0.44101,0.03205,0.55817,0.04328
SPI MM1 Calcite[3][all],Ca,20,40.078,0.42339,0.00018,0.42399,0.02596,0.21422,0.01858
SPI MM1 Calcite[3][all],Sr,38,87.62,0.00000,0.00007,0.00000,0.00007,0.00000,0.00002
# Notes
#	Analytical total: 0.999 ± 0.061
#	Residual written to SPI MM1 Calcite[3][4][residual].msa.
#
# Spectrum
