# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:05:58.488865 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	None
#
# Spectrum
#	SPI MM1 Chalcopyrite[0][all]['SPI MM1 Chalcopyrite[0][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Chalcopyrite[0][all],S,16,32.06,0.34792,0.00083,0.34659,0.00055,0.49682,0.00061
SPI MM1 Chalcopyrite[0][all],Fe,26,55.845,0.30826,0.00018,0.30708,0.00029,0.25271,0.00032
SPI MM1 Chalcopyrite[0][all],Cu,29,63.54599999999999,0.34765,0.00024,0.34633,0.00033,0.25047,0.00033
# Notes
#	Analytical total: 1.00383 ± 0.00088
#	Residual written to SPI MM1 Chalcopyrite[0][4][residual].msa.
#
# Spectrum
#	SPI MM1 Chalcopyrite[1][all]['SPI MM1 Chalcopyrite[1][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Chalcopyrite[1][all],S,16,32.06,0.30581,0.00070,0.33362,0.00052,0.48228,0.00058
SPI MM1 Chalcopyrite[1][all],Fe,26,55.845,0.28902,0.00016,0.31530,0.00028,0.26167,0.00031
SPI MM1 Chalcopyrite[1][all],Cu,29,63.54599999999999,0.32182,0.00022,0.35108,0.00031,0.25605,0.00031
# Notes
#	Analytical total: 0.91666 ± 0.00075
#	Residual written to SPI MM1 Chalcopyrite[1][4][residual].msa.
#
# Spectrum
#	SPI MM1 Chalcopyrite[2][all]['SPI MM1 Chalcopyrite[2][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Chalcopyrite[2][all],S,16,32.06,0.34790,0.00083,0.34673,0.00055,0.49697,0.00061
SPI MM1 Chalcopyrite[2][all],Fe,26,55.845,0.30830,0.00018,0.30727,0.00029,0.25283,0.00032
SPI MM1 Chalcopyrite[2][all],Cu,29,63.54599999999999,0.34716,0.00024,0.34600,0.00033,0.25020,0.00032
# Notes
#	Analytical total: 1.00336 ± 0.00088
#	Residual written to SPI MM1 Chalcopyrite[2][4][residual].msa.
#
# Spectrum
#	SPI MM1 Chalcopyrite[3][all]['SPI MM1 Chalcopyrite[3][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Chalcopyrite[3][all],S,16,32.06,0.34769,0.00083,0.34668,0.00055,0.49698,0.00061
SPI MM1 Chalcopyrite[3][all],Fe,26,55.845,0.30685,0.00018,0.30596,0.00029,0.25180,0.00032
SPI MM1 Chalcopyrite[3][all],Cu,29,63.54599999999999,0.34838,0.00024,0.34736,0.00033,0.25123,0.00033
# Notes
#	Analytical total: 1.00292 ± 0.00088
#	Residual written to SPI MM1 Chalcopyrite[3][4][residual].msa.
#
# Spectrum
#	SPI MM1 Chalcopyrite[4][all]['SPI MM1 Chalcopyrite[4][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Chalcopyrite[4][all],S,16,32.06,0.34742,0.00083,0.34677,0.00055,0.49703,0.00061
SPI MM1 Chalcopyrite[4][all],Fe,26,55.845,0.30732,0.00018,0.30674,0.00029,0.25241,0.00032
SPI MM1 Chalcopyrite[4][all],Cu,29,63.54599999999999,0.34714,0.00024,0.34649,0.00033,0.25056,0.00033
# Notes
#	Analytical total: 1.00189 ± 0.00088
#	Residual written to SPI MM1 Chalcopyrite[4][4][residual].msa.
#
# Spectrum
#	SPI MM1 Chalcopyrite[5][all]['SPI MM1 Chalcopyrite[5][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Chalcopyrite[5][all],S,16,32.06,0.34724,0.00083,0.34636,0.00055,0.49657,0.00061
SPI MM1 Chalcopyrite[5][all],Fe,26,55.845,0.30803,0.00018,0.30725,0.00029,0.25289,0.00032
SPI MM1 Chalcopyrite[5][all],Cu,29,63.54599999999999,0.34726,0.00024,0.34638,0.00033,0.25054,0.00033
# Notes
#	Analytical total: 1.00253 ± 0.00088
#	Residual written to SPI MM1 Chalcopyrite[5][4][residual].msa.
#
# Spectrum
#	SPI MM1 Chalcopyrite[6][all]['SPI MM1 Chalcopyrite[6][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Chalcopyrite[6][all],S,16,32.06,0.34833,0.00083,0.34682,0.00055,0.49705,0.00061
SPI MM1 Chalcopyrite[6][all],Fe,26,55.845,0.30897,0.00018,0.30763,0.00029,0.25310,0.00032
SPI MM1 Chalcopyrite[6][all],Cu,29,63.54599999999999,0.34706,0.00024,0.34555,0.00033,0.24985,0.00032
# Notes
#	Analytical total: 1.00436 ± 0.00088
#	Residual written to SPI MM1 Chalcopyrite[6][4][residual].msa.
#
# Spectrum
#	SPI MM1 Chalcopyrite[7][all]['SPI MM1 Chalcopyrite[7][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Chalcopyrite[7][all],S,16,32.06,0.34776,0.00083,0.34674,0.00055,0.49700,0.00061
SPI MM1 Chalcopyrite[7][all],Fe,26,55.845,0.30758,0.00018,0.30667,0.00029,0.25236,0.00032
SPI MM1 Chalcopyrite[7][all],Cu,29,63.54599999999999,0.34762,0.00024,0.34659,0.00033,0.25064,0.00033
# Notes
#	Analytical total: 1.00296 ± 0.00088
#	Residual written to SPI MM1 Chalcopyrite[7][4][residual].msa.
#
# Spectrum
#	Sum[8 spectra]['Sum spectrum']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
Sum[8 spectra],S,16,32.06,0.34252,0.00080,0.34516,0.00054,0.49524,0.00059
Sum[8 spectra],Fe,26,55.845,0.30555,0.00013,0.30791,0.00027,0.25362,0.00031
Sum[8 spectra],Cu,29,63.54599999999999,0.34427,0.00017,0.34693,0.00031,0.25114,0.00031
# Notes
#	Analytical total: 0.99234 ± 0.00083
#
