# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:06:02.416417800 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	None
#
# Spectrum
#	SPI MM1dup Jadeite[0][all]['SPI MM1 Jadeite[0][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1dup Jadeite[0][all],O,8,15.999,0.46342,0.03820,0.46398,0.02051,0.59022,0.01994
SPI MM1dup Jadeite[0][all],Na,11,22.98976928,0.11435,0.00029,0.11449,0.00439,0.10135,0.00494
SPI MM1dup Jadeite[0][all],Mg,12,24.305,0.00167,0.00003,0.00167,0.00007,0.00140,0.00007
SPI MM1dup Jadeite[0][all],Al,13,26.9815384,0.13141,0.00051,0.13157,0.00505,0.09924,0.00484
SPI MM1dup Jadeite[0][all],Si,14,28.085,0.28368,0.00089,0.28402,0.01088,0.20582,0.01003
SPI MM1dup Jadeite[0][all],Ca,20,40.078,0.00289,0.00002,0.00289,0.00011,0.00147,0.00007
SPI MM1dup Jadeite[0][all],Fe,26,55.845,0.00137,0.00003,0.00138,0.00006,0.00050,0.00003
# Notes
#	Analytical total: 0.999 ± 0.038
#	Residual written to SPI MM1 Jadeite[0][4][residual].msa.
#
# Spectrum
#	SPI MM1dup Jadeite[1][all]['SPI MM1 Jadeite[1][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1dup Jadeite[1][all],O,8,15.999,0.46363,0.03826,0.46508,0.02053,0.59117,0.01995
SPI MM1dup Jadeite[1][all],Na,11,22.98976928,0.11404,0.00029,0.11440,0.00440,0.10120,0.00494
SPI MM1dup Jadeite[1][all],Mg,12,24.305,0.00129,0.00003,0.00130,0.00006,0.00108,0.00006
SPI MM1dup Jadeite[1][all],Al,13,26.9815384,0.13094,0.00051,0.13135,0.00506,0.09900,0.00484
SPI MM1dup Jadeite[1][all],Si,14,28.085,0.28362,0.00089,0.28451,0.01094,0.20602,0.01006
