Name,Formula,Mass Fractions,Comment
NIST K1,0.084544*Li+0.018644*B+0.432098*O+0.0146*F+0.006031*Mg+0.210359*Si+0.0167*Cl+0.008301*K+0.008992*Ti+0.013427*Zn+0.0184*Br+0.014806*Zr+0.02363*Sn+0.01599*Te+0.026869*Ba+0.017146*Nd+0.017563*Yb+0.01696*Hf+0.023789*W+0.027849*Pb,"O:0.43210, Si:0.21036, Li:0.08454, Pb:0.02785, Ba:0.02687, W:0.02379, Sn:0.02363, B:0.01864, Br:0.01840, Yb:0.01756, Nd:0.01715, Hf:0.01696, Cl:0.01670, Te:0.01599, Zr:0.01481, F:0.01460, Zn:0.01343, Ti:0.00899, K:0.00830, Mg:0.00603",-
NIST K1001,0.394689*O+0.016692*Na+0.013569*Mg+0.089228*Al+0.210172*Si+0.018678*K+0.067467*Ca+0.020574*Rb+0.100541*Sr+0.019225*Pr+0.01929*Nd+0.019677*Er+0.010397*Pb,"O:0.39469, Si:0.21017, Sr:0.10054, Al:0.08923, Ca:0.06747, Rb:0.02057, Er:0.01968, Nd:0.01929, Pr:0.01922, K:0.01868, Na:0.01669, Mg:0.01357, Pb:0.01040",-
NIST K1008,0.38676*O+0.016692*Na+0.089228*Al+0.210172*Si+0.067467*Ca+0.020574*Rb+0.100541*Sr+0.008291*Zr+0.021222*Cs+0.020152*Ba+0.019641*Ho+0.019701*Tm+0.019759*Yb,"O:0.38676, Si:0.21017, Sr:0.10054, Al:0.08923, Ca:0.06747, Cs:0.02122, Rb:0.02057, Ba:0.02015, Yb:0.01976, Tm:0.01970, Ho:0.01964, Na:0.01669, Zr:0.00829",-
NIST K1010,0.38961*O+0.089228*Al+0.210172*Si+0.018678*K+0.067467*Ca+0.015616*Ge+0.020574*Rb+0.100541*Sr+0.008954*Te+0.021222*Cs+0.019185*La+0.019432*Eu+0.01952*Gd,"O:0.38961, Si:0.21017, Sr:0.10054, Al:0.08923, Ca:0.06747, Cs:0.02122, Rb:0.02057, Gd:0.01952, Eu:0.01943, La:0.01919, K:0.01868, Ge:0.01562, Te:0.00895",-
NIST K1012,0.393416*O+0.014837*Na+0.090461*Mg+0.079384*Al+0.186986*Si+0.006284*P+0.016603*K+0.004002*Ca+0.014878*Ga+0.007116*Se+0.016542*In+0.018864*Cs+0.134344*Ba+0.016281*Ce,"O:0.39342, Si:0.18699, Ba:0.13434, Mg:0.09046, Al:0.07938, Cs:0.01886, K:0.01660, In:0.01654, Ce:0.01628, Ga:0.01488, Na:0.01484, Se:0.00712, P:0.00628, Ca:0.00400",-
NIST K1013,0.525907*O+0.052407*Mg+0.058215*Al+0.334006*P+0.002158*Ti+0.002326*Cr+0.002593*Ni+0.003262*Ge+0.004072*Zr+0.00609*Ba+0.006736*Eu+0.001055*Th+0.001272*U,"O:0.52591, P:0.33401, Al:0.05822, Mg:0.05241, Eu:0.00674, Ba:0.00609, Zr:0.00407, Ge:0.00326, Ni:0.00259, Cr:0.00233, Ti:0.00216, U:0.00127, Th:0.00105",-
NIST K1053,0.161346*O+0.00387*F+0.093493*Si+0.00637*Cl+0.0109*Br+0.0137*I+0.710161*Pb,"Pb:0.71016, O:0.16135, Si:0.09349, I:0.01370, Br:0.01090, Cl:0.00637, F:0.00387",-
NIST K1070,0.343086*O+0.075385*Mg+0.186986*Si+0.089337*Ca+0.100421*Zn+0.111954*Ba+0.092832*Pb,"O:0.34309, Si:0.18699, Ba:0.11195, Zn:0.10042, Pb:0.09283, Ca:0.08934, Mg:0.07538",-
NIST K1080,0.027871*Li+0.006215*B+0.416459*O+0.012062*Mg+0.079384*Al+0.186986*Si+0.107204*Ca+0.01199*Ti+0.126838*Sr+0.007403*Zr+0.017588*Lu,"O:0.41646, Si:0.18699, Sr:0.12684, Ca:0.10720, Al:0.07938, Li:0.02787, Lu:0.01759, Mg:0.01206, Ti:0.01199, Zr:0.00740, B:0.00622",-
NIST K1092,0.092905*Li+0.509372*O+0.052923*Al+0.303853*Si+0.040948*Ta,"O:0.50937, Si:0.30385, Li:0.09291, Al:0.05292, Ta:0.04095",-
